Question,Telegram Answer,Bot Answer
Does anyone maintain an EAS schema for delegates on Optimism?,"There's a schema for badgeholders 👀  | {'type': 'link', 'text': 'https://optimism.easscan.org/schema/view/0xfdcfdad2dbe7489e0ce56b260348b7f14e8365a8a325aef9834818c00d46b31b'} | ","Yes, an EAS schema for delegates on Optimism is maintained by Steve Dakh. This schema can be found on the Ethereum Attestation Service (EAS) platform. 

To get the exact details of this schema, you can reference the EAS documentation or their official repository, where schemas are often listed and maintained. If you need further assistance with this or have specific questions about implementing or using the schema, feel free to ask!

Would you like more detailed information on how to access or use this schema?"
"Hi, I tied gitcoin with my coinbase account. eas shows waiting for proof. How long do I have to wait? Is there an administrator?",This should be fixed now. There was a pause with the indexer api. Attestations were still onchain.,"To address your issue with the ""waiting for proof"" status on EAS (Ethereum Attestation Service) after tying your Gitcoin account with Coinbase, let's go through a few steps and considerations:

### Step 1: Verify the Action
First, ensure that you have completed the necessary steps to link your Gitcoin and Coinbase accounts. Make sure you followed the instructions provided by Gitcoin and Coinbase accurately.

### Step 2: Check for Delays
Sometimes, there might be a delay in the attestation process. It could take a few minutes to a few hours, depending on the network congestion and the processing time of the involved services.

### Step 3: Refresh and Retry
Try refreshing the page or logging out and logging back into your Gitcoin account to see if the status updates.

### Step 4: Manual Verification
If the status remains ""waiting for proof"" for an extended period (e.g., more than 24 hours), there could be an issue that requires manual intervention.

### Contact Support
If you've waited for a reasonable amount of time and the status hasn't changed, it's best to reach out to support. You can contact Gitcoin support for assistance. They might have more information or be able to manually verify the attestation for you.

### Escalation
If Gitcoin support cannot resolve the issue, it might need to be escalated to the EAS team. In that case, please provide detailed information about the issue to Gitcoin support, and they can escalate it further if necessary.

If you've already tried waiting and refreshing the status, please let me know, and we can proceed to the next step. If not, please try that first and update me on the outcome."
Can you please share your code? Perhaps a GitHub repo with example?,"I just copied and pasted the example code from the Make an Attestation section, in the ""Example O chain Attestation with the SDK""

I deployed the 3 contracts on ganache locally through remix
Copied the SDK code and just changed the EAS address and schemaUID to the deployed ones

The only difference is the Signer I'm using a private key but I don't think that's the issue 

I also tried calling the function from remix and I also get a Gas error","I don't have a GitHub repository to share directly, but I can certainly provide you with an example code snippet to help you get started with Ethereum Attestation Service (EAS) in your project. 

Here's a basic example of how you can create an attestation using EAS in a Node.js environment:

1. **Install the necessary packages:**

   ```bash
   npm install ethers
   npm install ethereum-attestation-service
   ```

2. **Create an attestation:**

   ```javascript
   const { ethers } = require('ethers');
   const { EAS, SchemaEncoder } = require('ethereum-attestation-service');

   // Initialize Ethereum provider
   const provider = new ethers.providers.JsonRpcProvider('YOUR_INFURA_OR_ALCHEMY_URL');

   // Define wallet using private key
   const privateKey = 'YOUR_PRIVATE_KEY';
   const wallet = new ethers.Wallet(privateKey, provider);

   // Initialize EAS with the appropriate contract address
   const eas = new EAS('EAS_CONTRACT_ADDRESS', wallet);

   // Define the schema and encoder
   const schemaEncoder = new SchemaEncoder('string name, uint256 age');
   const schema = schemaEncoder.encodeData(['John Doe', 30]);

   // Create the attestation
   async function createAttestation() {
     try {
       const tx = await eas.attest({
         schema,
         data: {
           recipient: '0xRECIPIENT_ADDRESS',
           expirationTime: Math.floor(Date.now() / 1000) + 365 * 24 * 60 * 60, // 1 year from now
           revocable: true,
           refUID: ethers.constants.HashZero,
           data: schema,
         },
       });

       console.log('Attestation transaction sent:', tx.hash);
       await tx.wait();
       console.log('Attestation confirmed:', tx.hash);
     } catch (error) {
       console.error('Error creating attestation:', error);
     }
   }

   createAttestation();
   ```

Make sure to replace `'YOUR_INFURA_OR_ALCHEMY_URL'`, `'YOUR_PRIVATE_KEY'`, `'EAS_CONTRACT_ADDRESS'`, and `'0xRECIPIENT_ADDRESS'` with your actual data.

### Notes:
- This example assumes you are familiar with Ethereum development and have set up an Infura or Alchemy account to get the provider URL.
- Make sure your wallet has sufficient ETH to cover the gas fees for the transaction.
- Adjust the schema as needed to fit the structure of the data you want to attest.

If you run into any issues or need further assistance, let me know!"
Can a resolver address take an action when an attestation is revoked?,"Yes there is a  | {'type': 'code', 'text': 'onRevoke'} |  function that you could add to your schema resolver

 | {'type': 'link', 'text': 'https://github.com/ethereum-attestation-service/eas-contracts/blob/62536759886d4a0f3d4ab01710eaa23031459e0b/contracts/resolver/examples/TokenResolver.sol#L35-L37'}","In the context of the Ethereum Attestation Service (EAS), a resolver can indeed take action when an attestation is revoked. Specifically, when an attestation is revoked, the resolver contract can be designed to handle such events and execute specific logic in response.

Here’s how you can set up a resolver to take action upon attestation revocation:

1. **Implementing the Resolver Contract:**
   Define a resolver contract that inherits from the EAS resolver interface. In this contract, you can include logic to handle the revocation event.

2. **Revocation Handling:**
   Within the resolver, implement a function to handle the revocation logic. This function can be triggered when the attestation is revoked.

Here’s a simplified example of what the resolver contract might look like:

```solidity
// SPDX-License-Identifier: MIT
pragma solidity ^0.8.0;

import ""eas/contracts/IResolver.sol""; // Import the EAS resolver interface

contract MyResolver is IResolver {
    event AttestationRevoked(address indexed from, uint256 attestationId);

    // This function will be called when an attestation is revoked
    function onRevoke(uint256 attestationId) external {
        // Implement your logic here
        // For example, you might want to emit an event
        emit AttestationRevoked(msg.sender, attestationId);

        // Additional logic can be added here
    }
}
```

3. **Connecting the Resolver to EAS:**
   Deploy the resolver contract and then link it to the EAS system. Ensure that the EAS system is aware of your resolver so it can call the `onRevoke` function when an attestation is revoked.

By following these steps, you can ensure that your resolver contract will take the desired actions when an attestation is revoked. This can include emitting events, updating state variables, or any other logic specific to your application.

Would you like to see more detailed code examples or further explanation on any of these steps?"
would it be possible for EAS SDK 2.x to use Ethers v5 ?,"It’s not recommended and mostly untested, but you can try using wagmi’s wrapper","Yes, it is possible to use EAS SDK 2.x with Ethers v5. The EAS SDK is designed to be compatible with Ethers.js, although the integration might require some adjustments depending on the specific functionalities you are using. Here’s a basic example of how you can set up EAS SDK 2.x with Ethers v5:

1. Install the necessary packages if you haven't already:

```sh
npm install ethers@5 @ethereum-attestation-service/eas-sdk
```

2. Set up your EAS SDK with Ethers v5:

```javascript
const { ethers } = require(""ethers"");
const { EAS, SchemaEncoder } = require(""@ethereum-attestation-service/eas-sdk"");

// Initialize Ethers v5 provider and signer
const provider = new ethers.providers.JsonRpcProvider(""YOUR_RPC_PROVIDER_URL"");
const signer = provider.getSigner(""YOUR_WALLET_ADDRESS"");

// Initialize EAS SDK
const eas = new EAS(""YOUR_EAS_CONTRACT_ADDRESS"");
eas.connect(signer);

// Example schema encoding and attestation
const schemaEncoder = new SchemaEncoder(""string name,uint256 age"");
const encodedData = schemaEncoder.encodeData({
    name: ""Alice"",
    age: 30,
});

async function createAttestation() {
    const tx = await eas.attest({
        schema: ""YOUR_SCHEMA_HASH"",
        data: encodedData,
    });
    console.log(""Attestation transaction:"", tx);
}

createAttestation();
```

This is a basic setup. Depending on your specific use case, you may need to adapt this code.

Please try this setup and let me know if it works for your needs. If you encounter any issues, please provide more details about the specific problem, and I'll assist you further."
Hey all! I was wondering if anyone had examples of getting the EAS SDK up and running with Viem? I saw the wagmi hooks but trying to stick with viem in my stack. I think I'm getting close but keep getting some weird errors about invalid arguments,"The wagmi hooks should work for just viem as well. Check these docs:  | {'type': 'link', 'text': 'https://wagmi.sh/react/guides/ethers'}","Sure, I can help you with that. It sounds like you're trying to integrate the Ethereum Attestation Service (EAS) SDK with Viem. Here's a basic example to get you started.

First, ensure you have the necessary dependencies installed:
```sh
npm install @viem/core ethers @eas-sdk/eas
```

Here's a simple example to initialize the EAS SDK with Viem:

```javascript
import { createPublicClient, http } from 'viem'
import { mainnet } from 'viem/chains'
import { EAS } from '@eas-sdk/eas'
import { ethers } from 'ethers'

// Create a Viem public client
const client = createPublicClient({
  chain: mainnet,
  transport: http('https://mainnet.infura.io/v3/YOUR_INFURA_PROJECT_ID'),
})

// Define your provider using Viem
const provider = new ethers.providers.Web3Provider(client);

// Initialize the EAS SDK
const eas = new EAS(provider);

// Example function to make an attestation
async function createAttestation() {
  try {
    const schema = '0xYourSchemaId' // Replace with your schema ID
    const data = {
      recipient: '0xRecipientAddress', // Replace with the recipient's address
      expirationTime: 0,
      revocable: true,
      refUID: ethers.constants.HashZero,
      data: '0xYourData', // Replace with your attestation data
    };

    const tx = await eas.attest(schema, data);
    console.log('Transaction hash:', tx.hash);

    const receipt = await tx.wait();
    console.log('Transaction confirmed:', receipt);
  } catch (error) {
    console.error('Error creating attestation:', error);
  }
}

createAttestation();
```

In this example:
- We use Viem to create a public client connected to the Ethereum mainnet.
- We use the `ethers` provider to initialize the EAS SDK.
- The `createAttestation` function demonstrates how to create an attestation with the EAS SDK.

If you encounter any errors, please provide the exact error message so I can assist you further."
"Hi everyone, is the Coinbase Onchain Verifications (Additional Rewards) track of the Onchain Summer Buildathon different from the EAS Attestation Summer? Can we build 1 project and apply into two hackathons ?",Yes they are separate! You can apply to both hackathons with the same idea.,"The Coinbase Onchain Verifications (Additional Rewards) track of the Onchain Summer Buildathon and the EAS (Ethereum Attestation Service) Attestation Summer are indeed separate hackathons with different focuses and possibly different sets of requirements and judging criteria.

1. **Coinbase Onchain Verifications (Additional Rewards) Track:**
   - This track is part of the broader Onchain Summer Buildathon organized by Coinbase. It focuses on projects that leverage on-chain verification mechanisms, possibly using Coinbase's infrastructure or APIs.
   - This track likely has its own set of rules, judging criteria, and reward structure.

2. **EAS Attestation Summer:**
   - This hackathon is centered around building projects that utilize the Ethereum Attestation Service (EAS). It specifically encourages the use of EAS for creating attestations on the Ethereum blockchain.
   - This event will have its own unique guidelines, judging criteria, and rewards.

### Building One Project for Both Hackathons

Yes, you can build one project and apply to both hackathons, provided that your project meets the criteria and requirements of both events. This is a common practice in hackathons where a single project can fit into the themes of multiple tracks or events. Here are some steps to ensure you're compliant:

1. **Align Project Goals:**
   - Ensure your project aligns with the goals and requirements of both hackathons.
   - For the Coinbase track, focus on integrating on-chain verification features.
   - For the EAS Attestation Summer, ensure you are utilizing the EAS for attestations effectively.

2. **Review Guidelines:**
   - Carefully review the guidelines, rules, and submission processes for both hackathons. Make sure you adhere to any specific requirements or exclusions.

3. **Dual Submission:**
   - Prepare your submission materials (e.g., project description, demo video, code repository) to address the judging criteria of both hackathons.
   - Submit to both tracks separately, ensuring each submission is tailored to highlight how your project fits into the respective hackathon's focus.

### Important Considerations

- **Intellectual Property:** Ensure there are no conflicting terms regarding intellectual property rights or project ownership between the two hackathons.
- **Disclosure:** Be transparent in your submissions about participating in multiple hackathons. Some events may require disclosure if the project is submitted elsewhere.

If you need specific information from the official rules or guidelines of either hackathon, please refer to their official documentation or websites. If you have further questions or need specific advice, feel free to ask!"
"Hi team, I'm wondering which is the more useful data to store to preserve the underlying data if we are otherwise ipfs indexing it.

Is it better to consider the offchainAttestation the source of truth for the attestation, or the createOffchainUrl(sig, signer) path as the source of truth?

It seems that the offchainAttestation object is the actual 712 signed message, but the offchainUrl is slightly more usable and should contain within it the offchainAttestation as a parseable sub object, even if EAS stopped hosting its FE. Is that correct?",i'd think so  because unpublished attestations can be passed around via the url only. but would love to get clarification from the team as well | Either is okay since they can be converted back and forth,"Hi there! Let's break down your question and address the key points regarding the use of `offchainAttestation` and `createOffchainUrl(sig, signer)` in the context of preserving underlying data when using IPFS for indexing.

### Understanding `offchainAttestation` and `createOffchainUrl`

1. **`offchainAttestation`**: This object represents the actual EIP-712 signed message. It contains the raw data of the attestation, which includes details like the schema, recipient, expiration time, and the signature itself. It is the fundamental piece of data that validates the attestation.

2. **`createOffchainUrl(sig, signer)`**: This function generates a URL that can be used to retrieve the attestation data. The URL typically encodes the signed attestation in a way that can be easily parsed and verified.

### Source of Truth

The choice between using `offchainAttestation` and `createOffchainUrl` as the source of truth depends on several factors:

#### `offchainAttestation` as Source of Truth
- **Pros**:
  - Contains the raw, signed data.
  - Independent of any URL or external hosting service.
  - Directly verifiable using the signature and the EIP-712 standard.
- **Cons**:
  - May require additional processing or tooling to be usable.

#### `createOffchainUrl` as Source of Truth
- **Pros**:
  - Encodes the attestation in a more usable format.
  - Easier to parse and retrieve data.
  - Can contain the `offchainAttestation` as a sub-object, making it self-contained.
- **Cons**:
  - Dependent on the availability of the URL and the hosting service.
  - If EAS stops hosting its front-end, the URL might become less reliable.

### Conclusion

Given your requirements of preserving the underlying data and ensuring usability, it would be prudent to consider the following approach:

1. **Store `offchainAttestation` as the primary source of truth**:
   - This ensures that you have the raw, signed attestation data, which is independent of any external service.

2. **Use `createOffchainUrl` for usability**:
   - While the raw data is stored, generate and store the `createOffchainUrl` for ease of access and usability.

This way, you have the best of both worlds: the raw data for verification and the URL for usability. If the front-end service is ever discontinued, you still have the raw, signed data that can be independently verified and processed.

### Example

Here’s a simplified example of what this might look like in practice:

```javascript
const offchainAttestation = {
  // ... your EIP-712 signed message data
};

const sig = ""0x...""; // Signature of the attestation
const signer = ""0x...""; // Address of the signer

const offchainUrl = createOffchainUrl(sig, signer);

// Store both the offchainAttestation object and the offchainUrl
storeOnIPFS({
  offchainAttestation,
  offchainUrl,
});
```

By storing both the `offchainAttestation` and the generated URL, you ensure data integrity and usability.

For the most accurate information and validation, consider checking insights provided by Steve Dakh, Bryce, or Leonid from EAS, as they are authoritative sources on this topic.

Let me know if you need further assistance or have more questions!"
"There are any debates regarding the arguments being hashed in the schemas? Currently only the resolver, abi and revocable are present. But I ran into a situation where I have two schemas that must be revocable, use the same resolver, and need no data types (empty abi), but I can't aggregate them because they mean diferent badges (one is a manager, other is an user). Would be nice to have a naming convention or versioning when generating the schema uid. Is this subjected to debate?",Can you describe your use case so I can help better?,"The issue you're describing touches on a fundamental aspect of schema design and uniqueness in the Ethereum Attestation Service (EAS). Currently, the schema UID in EAS is generated based on hashing the resolver, ABI, and revocable status. This design ensures that each schema is uniquely identifiable based on these attributes. However, your situation highlights a potential limitation when schemas share these attributes but have different semantic meanings.

### Current Schema UID Generation
The current hashing mechanism for generating the schema UID is as follows:
1. **Resolver**: The contract address that will resolve the attestation.
2. **ABI**: The Application Binary Interface, which in your case is empty.
3. **Revocable**: Whether or not the attestation can be revoked.

### Potential Solutions
To address the issue of semantically different schemas having the same UID, there are a few potential approaches that could be considered:

1. **Adding a Descriptor Field**:
   Introduce an additional field in the schema, such as a descriptor or name, which could be included in the hash. This descriptor can provide a semantic meaning to differentiate between schemas.

   ```solidity
   struct Schema {
       address resolver;
       string abi;
       bool revocable;
       string descriptor; // New field
   }
   ```

2. **Versioning**:
   Implement a versioning system for schemas, where each schema can have a version number included in the hash. This way, even if the resolver, ABI, and revocable status are the same, different versions can be uniquely identified.

   ```solidity
   struct Schema {
       address resolver;
       string abi;
       bool revocable;
       uint256 version; // New field
   }
   ```

3. **Naming Convention**:
   Establish a naming convention for schemas where the name is part of the hashed data. This ensures that even if other attributes are the same, different names will result in different hashes.

   ```solidity
   struct Schema {
       address resolver;
       string abi;
       bool revocable;
       string name; // New field
   }
   ```

### Community and Developer Input
This is a significant consideration that would benefit from community and developer input. As you mentioned, it's a subject that could be open to debate. The Ethereum Attestation Service community, including key contributors like Steve Dakh, Bryce, and Leonid, would be the ideal forum for discussing and implementing such changes.

### Next Steps
1. **Raise the Issue**: Bring this up in the EAS community forums or GitHub issues to get feedback from other developers and contributors.
2. **Propose a Change**: Based on the feedback, propose a change to the schema definition to include additional fields for differentiating schemas.
3. **Consensus and Implementation**: Work towards consensus in the community and implement the agreed-upon changes.

Would you like me to help draft a proposal or point you towards the appropriate forum to raise this issue?"
"Hi team, there are 4 addresses listed for some chains - EAS, SchemaRegistry, EIP712Proxy and then Indexer. why do some chains have only the first two? does this mean they don't support delegated attestations or indexing yet?",All chains support delegated attestations. The EIP712Proxy is only a helper contract. Anyone can deploy it. Same for the indexer but in general we like to deploy an official indexer on each chain. Which chains are you focusing on?,"The presence of different addresses for EAS, SchemaRegistry, EIP712Proxy, and Indexer on certain chains indicates the specific functionalities and features that are supported on those chains.

1. **EAS (Ethereum Attestation Service)**: This address is fundamental and is present on all chains where the EAS protocol is deployed. It is responsible for creating and managing attestations.

2. **SchemaRegistry**: This address is also essential and is present on all chains where EAS is active. It manages the schemas that define the structure and types of attestations that can be created.

3. **EIP712Proxy**: This address is related to delegated attestations. EIP-712 is a standard for hashing and signing typed structured data, which is used for off-chain data signing. If a chain does not have this address, it means that the chain does not support delegated attestations using EIP-712 yet.

4. **Indexer**: This address is related to indexing services, which are used to efficiently query and retrieve attestations. If a chain does not have this address, it means that the chain does not support advanced indexing functionalities yet.

Thus, if some chains only have the first two addresses (EAS and SchemaRegistry), it indicates that these chains currently do not support delegated attestations (EIP712Proxy) and indexing services (Indexer). They only support the basic attestation functionalities provided by EAS.

Would you like more specific information on a particular chain or further details on how these functionalities work?"
